ARPU,TENURE,USAGE,MOST_CALLED_DEST,TITLE,FIRST_NAME,LAST_NAME,ADDRESS1,ADDRESS2,ADDRESS3,TOWN,COUNTY,POSTCODE,COUNTRY,MSISDN_ID,MSISDN,PHONE1,NA,NA
1,02/01/00,,Dest2,,,,,,,,,,,201234567891,,01234567891,201234567891,camp1
2,03/01/00,,Dest3,,,,,,,,,,,201234567892,,01234567892,201234567892,camp1
3,04/01/00,,Dest4,,,,,,,,,,,201234567893,,01234567893,201234567893,camp1
4,05/01/00,,Dest5,,,,,,,,,,,201234567894,,01234567894,201234567894,camp1
5,06/01/00,,Dest6,,,,,,,,,,,201234567895,,01234567895,201234567895,camp1
7,08/01/00,,Dest8,,,,,,,,,,,201234567897,,01234567897,201234567897,camp1
1,02/01/00,,Dest2,,,,,,,,,,,201234567881,,01234567881,201234567881,camp1
2,03/01/00,,Dest3,,,,,,,,,,,201234567882,,01234567882,201234567882,camp1
3,04/01/00,,Dest4,,,,,,,,,,,201234567883,,01234567883,201234567883,camp1
4,05/01/00,,Dest5,,,,,,,,,,,201234567884,,01234567884,201234567884,camp1
5,06/01/00,,Dest6,,,,,,,,,,,201234567885,,01234567885,201234567885,camp1
7,08/01/00,,Dest8,,,,,,,,,,,201234567887,,01234567887,201234567887,camp1
